id_ruta,ciudad_origen,estado_origen,ciudad_destino,estado_destino,distancia_tipica_millas,distancia_km,tarifa_base_por_milla,tarifa_base_milla_eur,tasa_de_recargo_combustible,dias_de_transito_tipicos
RTE00001,Atlanta,GA,Chicago,IL,677,1089.53,1.7,1.45,0.19,1
RTE00002,Atlanta,GA,Miami,FL,697,1121.71,2.08,1.77,0.22,1
RTE00003,Chicago,IL,Los Angeles,CA,2003,3223.52,2.55,2.17,0.29,3
RTE00004,Chicago,IL,Portland,OR,2017,3246.05,1.84,1.57,0.19,3
RTE00005,Chicago,IL,Las Vegas,NV,1749,2814.74,2.41,2.05,0.26,3
RTE00006,Chicago,IL,Charlotte,NC,675,1086.31,2.13,1.81,0.28,1
RTE00007,Dallas,TX,New York,NY,1576,2536.33,2.54,2.16,0.32,2
RTE00008,Dallas,TX,Denver,CO,762,1226.32,2.62,2.23,0.15,1
RTE00009,Dallas,TX,Indianapolis,IN,878,1413.0,1.95,1.66,0.17,1
RTE00010,New York,NY,Philadelphia,PA,92,148.06,1.61,1.37,0.17,1
RTE00011,New York,NY,Columbus,OH,547,880.31,1.69,1.44,0.24,1
RTE00012,Phoenix,AZ,Philadelphia,PA,2389,3844.72,2.71,2.31,0.19,4
RTE00013,Phoenix,AZ,Denver,CO,673,1083.09,1.7,1.45,0.21,1
RTE00014,Phoenix,AZ,Kansas City,MO,1204,1937.65,2.14,1.82,0.19,2
RTE00015,Philadelphia,PA,New York,NY,92,148.06,2.79,2.37,0.15,1
RTE00016,Philadelphia,PA,Seattle,WA,2729,4391.9,2.5,2.13,0.17,4
RTE00017,Philadelphia,PA,Minneapolis,MN,1130,1818.56,1.81,1.54,0.34,1
RTE00018,Philadelphia,PA,Indianapolis,IN,670,1078.26,2.07,1.76,0.28,1
RTE00019,Houston,TX,Detroit,MI,1271,2045.48,2.33,1.98,0.32,2
RTE00020,Houston,TX,Seattle,WA,2172,3495.5,1.77,1.51,0.34,3
RTE00021,Houston,TX,Portland,OR,2108,3392.5,2.45,2.08,0.28,3
RTE00022,Houston,TX,Memphis,TN,557,896.4,1.95,1.66,0.29,1
RTE00023,Miami,FL,Dallas,TX,1276,2053.52,2.33,1.98,0.17,2
RTE00024,Miami,FL,Philadelphia,PA,1175,1890.98,2.48,2.11,0.32,2
RTE00025,Miami,FL,Seattle,WA,3141,5054.95,1.65,1.4,0.18,5
RTE00026,Miami,FL,Denver,CO,1984,3192.94,1.72,1.46,0.28,3
RTE00027,Detroit,MI,Houston,TX,1271,2045.48,2.02,1.72,0.33,2
RTE00028,Seattle,WA,Houston,TX,2172,3495.5,1.89,1.61,0.26,3
RTE00029,Seattle,WA,Charlotte,NC,2623,4221.31,2.47,2.1,0.34,4
RTE00030,Seattle,WA,Indianapolis,IN,2147,3455.26,2.48,2.11,0.33,3
RTE00031,Denver,CO,Kansas City,MO,640,1029.98,2.19,1.86,0.29,1
RTE00032,Portland,OR,Detroit,MI,2259,3635.51,1.99,1.69,0.2,3
RTE00033,Portland,OR,Seattle,WA,167,268.76,2.42,2.06,0.24,1
RTE00034,Portland,OR,Columbus,OH,2332,3752.99,2.12,1.8,0.34,4
RTE00035,Las Vegas,NV,Dallas,TX,1229,1977.88,1.69,1.44,0.28,2
RTE00036,Las Vegas,NV,Los Angeles,CA,262,421.65,2.63,2.24,0.33,1
RTE00037,Las Vegas,NV,New York,NY,2561,4121.53,1.52,1.29,0.21,4
RTE00038,Las Vegas,NV,Kansas City,MO,1311,2109.85,2.71,2.31,0.24,2
RTE00039,Minneapolis,MN,Atlanta,GA,1044,1680.16,2.08,1.77,0.33,1
RTE00040,Minneapolis,MN,Los Angeles,CA,1749,2814.74,2.38,2.03,0.3,3
RTE00041,Minneapolis,MN,Houston,TX,1216,1956.96,2.75,2.34,0.21,2
RTE00042,Charlotte,NC,Seattle,WA,2623,4221.31,2.39,2.03,0.18,4
RTE00043,Charlotte,NC,Denver,CO,1559,2508.97,1.55,1.32,0.16,2
RTE00044,Charlotte,NC,Portland,OR,2627,4227.75,2.69,2.29,0.31,4
RTE00045,Charlotte,NC,Memphis,TN,597,960.78,2.33,1.98,0.23,1
RTE00046,Columbus,OH,Los Angeles,CA,2269,3651.6,2.74,2.33,0.22,3
RTE00047,Columbus,OH,Philadelphia,PA,476,766.05,2.06,1.75,0.16,1
RTE00048,Columbus,OH,Portland,OR,2332,3752.99,2.69,2.29,0.34,4
RTE00049,Columbus,OH,Minneapolis,MN,720,1158.73,2.62,2.23,0.2,1
RTE00050,Columbus,OH,Kansas City,MO,712,1145.85,1.94,1.65,0.24,1
RTE00051,Memphis,TN,Los Angeles,CA,1840,2961.19,1.85,1.57,0.25,3
RTE00052,Memphis,TN,Minneapolis,MN,804,1293.91,1.63,1.39,0.34,1
RTE00053,Kansas City,MO,Atlanta,GA,777,1250.46,2.35,2.0,0.27,1
RTE00054,Kansas City,MO,Los Angeles,CA,1557,2505.75,2.01,1.71,0.19,2
RTE00055,Kansas City,MO,Miami,FL,1429,2299.75,2.51,2.14,0.25,2
RTE00056,Kansas City,MO,Portland,OR,1718,2764.85,2.47,2.1,0.18,2
RTE00057,Kansas City,MO,Charlotte,NC,921,1482.21,2.45,2.08,0.3,1
RTE00058,Kansas City,MO,Indianapolis,IN,519,835.25,2.27,1.93,0.19,1
